,gid,위도,경도,sub_cnt,point
38,Na,37.29792705,126.9499486,1,POINT (126.9499486 37.29792705)
39,Na,37.25291089,126.96155230000001,1,POINT (126.9615523 37.25291089)
40,Na,37.31617936,127.00060149999999,1,POINT (127.0006015 37.31617936)
41,광교 파출소,37.31178824,127.02884340000001,1,POINT (127.0288434 37.31178824)
42,Na,37.29797894,126.96123119999999,1,POINT (126.9612312 37.29797894)
43,광교 파출소,37.31167255,127.00063130000001,1,POINT (127.0006313 37.31167255)
44,광교 파출소,37.26230051,127.05170729999999,1,POINT (127.0517073 37.26230051)
45,광교 파출소,37.27566502,127.012149,1,POINT (127.012149 37.27566502)
46,Na,37.27995177,126.9613598,1,POINT (126.9613598 37.27995177)
47,광교 파출소,37.25334958,127.0686749,1,POINT (127.0686749 37.25334958)
48,Na,37.27531331,126.93319369999999,1,POINT (126.9331937 37.27531331)
49,Na,37.24860056,127.0066857,1,POINT (127.0066857 37.24860056)
50,Na,37.27103863,126.98398130000001,1,POINT (126.9839813 37.27103863)
51,Na,37.2889909,126.96693619999999,1,POINT (126.9669362 37.2889909)
52,광교 파출소,37.30281896,127.04018310000001,1,POINT (127.0401831 37.30281896)
53,광교 파출소,37.28481335,127.0459332,1,POINT (127.0459332 37.28481335)
54,Na,37.29354797,126.97818640000001,1,POINT (126.9781864 37.29354797)
55,Na,37.31608195,126.9780307,1,POINT (126.9780307 37.31608195)
56,Na,37.2618727,126.95021090000002,1,POINT (126.9502109 37.2618727)
57,Na,37.26184638,126.9445723,1,POINT (126.9445723 37.26184638)
58,광교 파출소,37.28030649,127.04596029999999,1,POINT (127.0459603 37.28030649)
59,광교 파출소,37.27586331,127.06290659999999,1,POINT (127.0629066 37.27586331)
60,광교 파출소,37.26232173,127.057346,1,POINT (127.057346 37.26232173)
61,Na,37.29352297,126.97254540000002,1,POINT (126.9725454 37.29352297)
62,Na,37.23523773,127.04623070000001,1,POINT (127.0462307 37.23523773)
63,Na,37.27101391,126.978342,1,POINT (126.978342 37.27101391)
64,광교 파출소,37.2669108,127.079876,1,POINT (127.079876 37.2669108)
65,광교 파출소,37.28028473,127.04032020000001,1,POINT (127.0403202 37.28028473)
66,광교 파출소,37.27584236,127.0572669,1,POINT (127.0572669 37.27584236)
67,Na,37.30701807,126.96680900000001,1,POINT (126.966809 37.30701807)
68,Na,37.23517173,127.0293206,1,POINT (127.0293206 37.23517173)
69,광교 파출소,37.24884268,127.0687006,1,POINT (127.0687006 37.24884268)
70,광교 파출소,37.26693068,127.0855152,1,POINT (127.0855152 37.26693068)
71,Na,37.24411705,127.0123524,1,POINT (127.0123524 37.24411705)
72,Na,37.2934977,126.9669044,1,POINT (126.9669044 37.2934977)
73,Na,37.23525919,127.0518675,1,POINT (127.0518675 37.23525919)
74,광교 파출소,37.26223525,127.03479109999998,1,POINT (127.0347911 37.26223525)
75,Na,37.24389724,126.9616165,1,POINT (126.9616165 37.24389724)
76,광교 파출소,37.31624959,127.0175297,1,POINT (127.0175297 37.31624959)
77,광교 파출소,37.30279691,127.0345413,1,POINT (127.0345413 37.30279691)
78,광교 파출소,37.30265894,127.0006909,1,POINT (127.0006909 37.30265894)
79,광교 파출소,37.25317668,127.02357040000001,1,POINT (127.0235704 37.25317668)
80,광교 파출소,37.26687024,127.06859779999999,1,POINT (127.0685978 37.26687024)
81,광교 파출소,37.25330796,127.05739879999999,1,POINT (127.0573988 37.25330796)
82,광교 파출소,37.30723595,127.01758729999999,1,POINT (127.0175873 37.30723595)
83,광교 파출소,37.26671982,127.0291243,1,POINT (127.0291243 37.26671982)
84,Na,37.29810399,126.98943799999999,1,POINT (126.989438 37.29810399)
85,Na,37.25739194,126.955882,1,POINT (126.955882 37.25739194)
86,광교 파출소,37.31183263,127.04012820000001,1,POINT (127.0401282 37.31183263)
87,Na,37.24862391,127.01232340000001,1,POINT (127.0123234 37.24862391)
88,광교 파출소,37.29395208,127.0797257,1,POINT (127.0797257 37.29395208)
89,Na,37.27539311,126.9501126,1,POINT (126.9501126 37.27539311)
90,Na,37.24842957,126.96722209999999,1,POINT (126.9672221 37.24842957)
91,광교 파출소,37.28465531,127.00645039999999,1,POINT (127.0064504 37.28465531)
92,Na,37.27083338,126.9388668,1,POINT (126.9388668 37.27083338)
93,Na,37.26648211,126.9727341,1,POINT (126.9727341 37.26648211)
94,광교 파출소,37.28485609,127.05721409999998,1,POINT (127.0572141 37.28485609)
95,광교 파출소,37.29831212,127.0402105,1,POINT (127.0402105 37.29831212)
96,광교 파출소,37.275618,127.0008696,1,POINT (127.0008696 37.275618)
97,Na,37.27547049,126.96703149999999,1,POINT (126.9670315 37.27547049)
98,광교 파출소,37.30718942,127.00630320000002,1,POINT (127.0063032 37.30718942)
99,Na,37.24416294,127.0236272,1,POINT (127.0236272 37.24416294)
100,Na,37.24850446,126.98413500000001,1,POINT (126.984135 37.24850446)
101,Na,37.27534017,126.93883340000001,1,POINT (126.9388334 37.27534017)
102,광교 파출소,37.27127101,127.040375,1,POINT (127.040375 37.27127101)
103,Na,37.26635318,126.9445392,1,POINT (126.9445392 37.26635318)
104,Na,37.23528039,127.05750420000001,1,POINT (127.0575042 37.23528039)
105,Na,37.2529364,126.9671903,1,POINT (126.9671903 37.2529364)
106,광교 파출소,37.27559408,126.99522990000001,1,POINT (126.9952299 37.27559408)
107,광교 파출소,37.26674212,127.0347634,1,POINT (127.0347634 37.26674212)
108,광교 파출소,37.28010091,126.9951998,1,POINT (126.9951998 37.28010091)
109,광교 파출소,37.28911456,126.9951396,1,POINT (126.9951396 37.28911456)
110,광교 파출소,37.27122668,127.02909620000001,1,POINT (127.0290962 37.27122668)
111,Na,37.28904117,126.9782175,1,POINT (126.9782175 37.28904117)
