,gid,sgg_nm_e,value,geometry
59,다사52a19b,"Gwonseon-gu, Suwon-si",1.301,"MULTIPOLYGON (((126.958588200798 37.27317870792205, 126.9585559231012 37.27768551109024, 126.9641957392165 37.27771117288621, 126.9642276807402 37.27320436555608, 126.958588200798 37.27317870792205)))"
60,다사52a20a,"Gwonseon-gu, Suwon-si",2.318,"MULTIPOLYGON (((126.9585559231012 37.27768551109024, 126.9585236382193 37.28219231079488, 126.9641637905825 37.28221797675327, 126.9641957392165 37.27771117288621, 126.9585559231012 37.27768551109024)))"
61,다사52a20b,"Gwonseon-gu, Suwon-si",2.164,"MULTIPOLYGON (((126.9585236382193 37.28219231079488, 126.9584913461508 37.28669910703584, 126.9641318348368 37.28672477715713, 126.9641637905825 37.28221797675327, 126.9585236382193 37.28219231079488)))"
62,다사52a21a,"Gwonseon-gu, Suwon-si",2.221,"MULTIPOLYGON (((126.9584913461508 37.28669910703584, 126.9584590468939 37.29120589981292, 126.9640998719775 37.2912315740976, 126.9641318348368 37.28672477715713, 126.9584913461508 37.28669910703584)))"
63,다사52a21b,"Gwonseon-gu, Suwon-si",1.93,"MULTIPOLYGON (((126.9584590468939 37.29120589981292, 126.9584267404469 37.29571268912601, 126.964067902003 37.29573836757456, 126.9640998719775 37.2912315740976, 126.9584590468939 37.29120589981292)))"
64,다사52a22a,"Gwonseon-gu, Suwon-si",2.154,"MULTIPOLYGON (((126.9584267404469 37.29571268912601, 126.9583944268082 37.30021947497492, 126.9640359249117 37.30024515758785, 126.964067902003 37.29573836757456, 126.9584267404469 37.29571268912601)))"
65,다사52b15b,"Gwonseon-gu, Suwon-si",2.864,"MULTIPOLYGON (((126.9644829571621 37.23714978226322, 126.9644510724601 37.24165661729232, 126.9700882083811 37.24168197747823, 126.9701197575063 37.23717513833462, 126.9644829571621 37.23714978226322)))"
66,다사52b16a,"Gwonseon-gu, Suwon-si",2.507,"MULTIPOLYGON (((126.9644510724601 37.24165661729232, 126.9644191806613 37.2461634488596, 126.9700566522338 37.24618881316048, 126.9700882083811 37.24168197747823, 126.9644510724601 37.24165661729232)))"
67,다사52b16b,"Gwonseon-gu, Suwon-si",2.356,"MULTIPOLYGON (((126.9644191806613 37.2461634488596, 126.9643872817639 37.25067027696488, 126.9700250890626 37.25069564538121, 126.9700566522338 37.24618881316048, 126.9644191806613 37.2461634488596)))"
68,다사52b17a,"Gwonseon-gu, Suwon-si",1.882,"MULTIPOLYGON (((126.9643872817639 37.25067027696488, 126.9643553757663 37.25517710160803, 126.9699935188658 37.2552024741403, 126.9700250890626 37.25069564538121, 126.9643872817639 37.25067027696488)))"
