gid,여성인구비율,cctv개수,가로등개수,경찰서접근성,
다사55b20a,0.217034246,0.333333333,0.063670412,0.077720964,-0.102248535
다사57b15b,0.216521891,0,0.258426966,0.090504018,0.048598942
다사53a19b,0.216519749,0.333333333,0.269662921,0.046165084,-0.340311422
다사59b15b,0.216252411,0,0.34082397,0.072680789,-0.05189077
다사56b16b,0.216238608,0,0.097378277,0.048721695,0.167582025
다사57b19a,0.216167724,0.333333333,0.164794007,0.0752374,-0.206722217
다사50b19b,0.215558536,0,0.456928839,0.067202337,-0.174167966
다사52a20b,0.214922755,0,0.04494382,0.151497443,0.321476378
다사57a25a,0.214922755,0,0.078651685,0.369978086,0.506249156
다사54a18b,0.214922755,0,0.056179775,0.126734843,0.285477823
다사56b22a,0.214785975,0,0.176029963,0.037472608,0.07622862
다사60a22b,0.214759761,0,0.303370787,0.164645727,0.076034702
다사50b21a,0.214745045,0.166666667,0.149812734,0.13119065,0.029456294
다사55b23a,0.213779055,0.166666667,0.202247191,0.108108108,-0.047026695
다사57a22a,0.213505904,0.333333333,0.108614232,0.056391527,-0.172050135
다사57b22b,0.213251446,0,0.014981273,0.134550767,0.332820939
다사60b16b,0.212841408,0.166666667,0.235955056,0.067640614,-0.122139701
다사52b22b,0.212466973,1,0.352059925,0.058875091,-1.080717861
다사52a18a,0.212452822,0,0.355805243,0.149452155,0.006099733
다사57a15b,0.212183317,0,0.490636704,0.047845142,-0.230608245
다사58a20b,0.211139377,0.166666667,0.142322097,0.038130022,-0.059719365
다사53b19a,0.211124136,0,0.116104869,0.110226443,0.20524571
다사59b20a,0.210813597,0,0.112359551,0.112710007,0.211164054
다사61a18b,0.210668604,0.166666667,0.303370787,0.07852447,-0.180844379
다사53b19b,0.210244623,0,0.29588015,0.077940102,-0.007695424
다사53a22b,0.209712826,0.333333333,0.524344569,0.039663988,-0.608301089
다사58a15b,0.209463875,0.333333333,0.325842697,0.114243974,-0.335468182
다사55b23b,0.209055657,0,0.093632959,0.140759679,0.256182376
다사56a21a,0.208715074,0.333333333,0.164794007,0.082688093,-0.206724173
다사50a18b,0.208561171,0,0.093632959,0.17100073,0.285928942
다사56b17a,0.208205082,0,0.367041199,0.090284879,-0.068551237
다사49b19a,0.207526272,0,0.026217228,0.166983199,0.348292243
다사54a16b,0.206713067,0,0.138576779,0.058363769,0.126500057
다사57a19b,0.206610435,0.166666667,0.415730337,0.071658145,-0.304128424
다사54b18a,0.206514788,0.166666667,0.232209738,0.152593134,-0.039768483
다사54b23b,0.206502211,0,0.254681648,0.019138057,-0.02904138
다사54b23a,0.206265983,0.333333333,0.205992509,0.027538349,-0.305521511
다사56a18b,0.205872325,0.166666667,0.116104869,0.071365961,-0.00553325
다사51b18a,0.204920844,0,0.329588015,0.405770636,0.281103465
다사50a18a,0.203645401,0,0.02247191,0.203944485,0.385117976
다사57b19b,0.20267338,0.333333333,0.138576779,0.093133674,-0.176103058
다사55b21b,0.202669899,0.666666667,0.112359551,0.069758948,-0.50659737
다사56a23b,0.202581164,0,0.059925094,0.173411249,0.316067319
다사53b18b,0.202127422,0.166666667,0.146067416,0.098100804,-0.012505857
다사53b16a,0.202059307,0,0.516853933,0.153615778,-0.161178847
다사53a21b,0.198187736,0,0.108614232,0.118261505,0.207835009
다사52b20a,0.197615715,0,0.27340824,0.131263696,0.055471171
다사56b21b,0.197360386,0.166666667,0.25093633,0.025785245,-0.194457365
다사56a17b,0.19647933,0.166666667,0.449438202,0.114901388,-0.304724151
다사56b17b,0.195691343,0.5,0.217228464,0.105478451,-0.41605867
다사58b15b,0.195615957,0,0.157303371,0.249890431,0.288203017
다사53a20a,0.195318427,0,0.374531835,0.007377648,-0.17183576
다사61a19b,0.194751112,0,0.08988764,0.105916728,0.210780199
다사50b19a,0.194075953,0,0.441947566,0.11358656,-0.134285053
다사58a21b,0.193919038,0.333333333,0.123595506,0.055003652,-0.208006149
다사56b19a,0.189906539,0.166666667,0.393258427,0.028707085,-0.341311469
다사54a19a,0.189756446,0,0.097378277,0.142658875,0.235037044
다사55a23b,0.189522804,0.166666667,0.134831461,0.06880935,-0.043165974
다사50b18b,0.188898094,0,0.198501873,0.128195763,0.118591985
다사56b18a,0.187847218,0.333333333,0.389513109,0.078086194,-0.45691303
다사57a19a,0.1849072,0.166666667,0.325842697,0.058509861,-0.249092302
다사54a17a,0.184431264,0.166666667,0.310861423,0.027757487,-0.265339339
다사56b18b,0.183409509,0.333333333,0.288389513,0.027027027,-0.41128631
다사55a23a,0.183136273,0,0.176029963,0.084002922,0.091109233
다사56a17a,0.181095659,0,0.247191011,0.129437546,0.063342193
다사52a17b,0.180366021,0,0.670411985,0.156172389,-0.333873575
다사56a19a,0.178207149,0.166666667,0.310861423,0.036669102,-0.262651839
다사57a18b,0.177470291,0,0.239700375,0.033747261,-0.028482822
다사56b21a,0.175802377,0.166666667,0.258426966,0.059459459,-0.189831796
다사52a21b,0.174536842,0.166666667,0.423220974,0.134404675,-0.280946123
다사53a22a,0.17313927,0.5,0.426966292,0,-0.753827022
다사53b23b,0.173097407,0,0.172284644,0.080642805,0.081455568
다사57a26a,0.173097407,0,0.041198502,0.476771366,0.608670272
다사61a18a,0.17279182,0,0.205992509,0.088458729,0.055258039
다사56a19b,0.172482539,0.333333333,0.116104869,0.039225712,-0.237729951
다사57b15a,0.171939313,0.333333333,0.509363296,0.100949598,-0.569807718
다사54b18b,0.171313568,0.333333333,0.243445693,0.112490869,-0.292974589
다사57b21b,0.17094387,0,0.325842697,0.043316289,-0.111582538
다사56b20a,0.16981067,0,0.011235955,0.126296567,0.284871282
다사58a22a,0.164643,0.5,0.280898876,0.095032871,-0.521223005
다사61a17b,0.163882802,0.166666667,0.127340824,0.167056245,0.036931556
다사57a21b,0.163631338,0.333333333,0.258426966,0.074872169,-0.353256792
다사57a21a,0.162708995,0.333333333,0.247191011,0.073046019,-0.344769331
다사58b22a,0.161640039,0,0.041198502,0.163330898,0.283772435
다사55b19a,0.158545408,0,0.277153558,0.015120526,-0.103487625
다사55b24a,0.157296722,0,0.033707865,0.138860482,0.262449339
다사56b20b,0.153885045,0,0.292134831,0.081665449,-0.056584337
다사57b21a,0.153310827,0,0.299625468,0.036961286,-0.109353356
다사57b20a,0.1510459,0.333333333,0.08988764,0.070416362,-0.201758711
다사57b22a,0.147322997,0,0.161048689,0.085902118,0.072176426
다사55b18b,0.140992828,0.666666667,0.277153558,0.060336012,-0.742491385
다사60a16b,0.135890531,0.166666667,0.220973783,0.118480643,-0.133269275
다사60b22a,0.130685039,0,0.277153558,0.166691015,0.020222496
다사57b20b,0.126749652,0.166666667,0.071161049,0.066252739,-0.044825324
다사59b20b,0.125695349,0,0.02247191,0.115558802,0.218782241
다사55a18a,0.125443544,0,0.535580524,0.104821037,-0.305315943
다사53b24a,0.122535211,0,0.014981273,0.10715851,0.214712447
다사50b18a,0.121864879,0,0.071161049,0.161431702,0.212135533
다사57a20b,0.121553736,0.166666667,0.310861423,0.044192841,-0.311781513
다사56a16b,0.116502222,0,0.018726592,0.139225712,0.237001343
다사60b18a,0.115999473,0,0.097378277,0.190942294,0.209563489
다사50b21b,0.115161558,0,0.187265918,0.056026297,-0.016078063
다사60b17b,0.114077196,0,0.265917603,0.140029218,-0.011811188
다사54b16a,0.113054799,0,0.303370787,0.132943755,-0.057372233
다사54b16b,0.10519716,0,0.254681648,0.044485026,-0.104999462
다사53b15b,0.102572393,0,0.513108614,0.156537619,-0.253998603
